"Date","Price","Open","High","Low","Vol.","Change %"
"06/15/2023","245.18","245.11","245.94","243.22","40.06M","0.24%"
"06/14/2023","244.60","245.70","247.68","242.80","52.21M","0.11%"
"06/13/2023","244.33","241.51","244.50","240.63","40.55M","1.63%"
"06/09/2023","240.40","242.80","243.00","240.11","27.57M","-0.57%"
"06/08/2023","241.77","241.30","242.78","239.55","29.95M","0.22%"
"06/07/2023","241.25","241.20","244.39","238.56","63.13M","0.14%"
"06/06/2023","240.91","235.92","242.10","232.54","100.64M","1.60%"
"06/05/2023","237.12","243.51","244.15","235.10","78.74M","-2.80%"
"06/02/2023","243.95","242.00","245.50","240.77","46.54M","0.95%"
"06/01/2023","241.66","247.00","247.00","240.57","52.05M","-1.83%"
"05/31/2023","246.17","244.00","247.18","240.27","72.91M","0.62%"
"05/30/2023","244.65","248.84","250.85","243.80","83.53M","-2.60%"
"05/29/2023","251.18","249.78","252.59","248.85","68.00M","1.24%"
"05/26/2023","248.10","243.45","249.64","242.81","69.20M","1.78%"
"05/25/2023","243.76","246.10","247.40","242.65","70.88M","-0.93%"
"05/24/2023","246.06","237.49","246.13","236.26","86.01M","4.07%"
"05/23/2023","236.43","231.25","237.29","230.21","63.01M","2.35%"
"05/22/2023","231.00","232.20","232.78","230.00","26.49M","-0.12%"
"05/19/2023","231.27","230.99","232.30","229.81","31.64M","-0.19%"
"05/18/2023","231.70","231.70","234.49","230.72","56.23M","0.50%"
"05/17/2023","230.55","229.86","230.97","228.75","31.77M","-0.03%"
"05/16/2023","230.62","232.40","232.86","229.57","36.61M","-0.47%"
"05/15/2023","231.70","230.51","231.75","228.52","49.09M","1.05%"
"05/12/2023","229.29","231.00","232.47","226.15","70.53M","-0.01%"
"05/11/2023","229.32","228.87","235.38","223.94","197.30M","1.00%"
"05/10/2023","227.06","216.50","227.50","215.70","156.87M","-4.70%"
"05/08/2023","238.27","238.69","239.86","237.36","47.87M","0.24%"
"05/05/2023","237.70","239.24","240.66","237.30","61.37M","-0.50%"
"05/04/2023","238.89","236.89","239.74","236.05","53.08M","1.32%"
"05/03/2023","235.77","242.85","242.99","234.00","76.83M","-2.82%"
"05/02/2023","242.62","242.20","245.00","237.40","83.96M","0.93%"
"04/28/2023","240.38","240.90","241.58","237.66","49.58M","0.00%"
"04/27/2023","240.38","235.59","240.74","235.13","68.31M","2.20%"
"04/26/2023","235.21","235.60","235.95","234.91","24.43M","-0.04%"
"04/25/2023","235.30","235.13","235.82","234.21","32.19M","0.09%"
"04/24/2023","235.10","235.07","236.40","234.10","30.54M","-0.03%"
"04/21/2023","235.17","237.40","238.85","233.52","115.91M","-0.47%"
"04/20/2023","236.28","233.32","236.47","229.84","85.09M","1.43%"
"04/19/2023","232.95","232.67","237.37","231.10","115.71M","0.12%"
"04/18/2023","232.66","227.89","232.76","227.05","97.77M","2.00%"
"04/17/2023","228.10","222.98","228.20","222.91","78.80M","2.81%"
"04/14/2023","221.87","220.00","222.50","218.51","43.32M","0.92%"
"04/13/2023","219.85","219.49","220.89","218.00","32.67M","0.29%"
"04/12/2023","219.22","218.60","219.70","216.67","44.77M","0.28%"
"04/11/2023","218.60","222.90","223.33","217.62","98.54M","-1.62%"
"04/10/2023","222.21","217.10","222.26","216.61","85.20M","2.75%"
"04/07/2023","216.27","214.50","216.39","213.65","29.20M","0.94%"
"04/06/2023","214.25","216.30","217.38","214.07","39.06M","-0.88%"
"04/05/2023","216.15","214.65","216.30","211.40","46.18M","0.61%"
"04/04/2023","214.83","216.20","217.29","213.80","45.80M","-0.58%"
"04/03/2023","216.09","218.45","219.44","214.80","55.18M","-0.24%"
"03/31/2023","216.60","217.20","217.35","211.30","88.08M","-0.12%"
"03/30/2023","216.87","217.30","218.45","216.12","40.89M","-0.51%"
"03/29/2023","217.99","214.85","219.53","213.60","96.68M","1.85%"
"03/28/2023","214.03","212.86","214.70","210.67","73.90M","1.03%"
"03/27/2023","211.84","204.01","213.20","204.01","101.52M","4.06%"
"03/24/2023","203.57","202.86","203.85","202.00","24.33M","0.49%"
"03/23/2023","202.58","202.53","204.20","202.22","26.65M","-0.15%"
"03/22/2023","202.89","203.40","204.40","201.59","57.57M","-0.21%"
"03/21/2023","203.32","204.76","208.00","201.25","122.58M","-0.20%"
"03/20/2023","203.73","196.02","205.09","195.00","156.71M","5.24%"
"03/17/2023","193.59","183.00","193.66","178.56","388.16M","10.34%"
"03/16/2023","175.45","174.94","176.04","173.36","51.53M","0.09%"
"03/15/2023","175.30","176.00","177.37","173.59","79.93M","-0.23%"
"03/14/2023","175.71","171.61","176.95","171.01","89.33M","2.07%"
"03/13/2023","172.15","172.50","173.90","169.26","74.03M","-0.22%"
"03/10/2023","172.53","171.55","173.00","170.58","50.26M","-0.01%"
"03/09/2023","172.55","174.85","174.89","172.21","80.39M","-0.84%"
"03/07/2023","174.01","171.87","174.20","171.00","55.29M","1.26%"
"03/06/2023","171.84","172.14","172.99","171.35","64.59M","0.40%"
"03/03/2023","171.16","168.17","171.26","167.90","49.57M","1.85%"
"03/02/2023","168.05","170.40","170.40","166.55","86.10M","-1.45%"
"03/01/2023","170.53","170.40","171.66","169.50","53.78M","0.42%"
"02/28/2023","169.82","170.50","171.92","168.37","80.75M","-0.08%"
"02/27/2023","169.95","163.52","170.00","162.96","100.13M","3.44%"
"02/24/2023","164.30","163.33","165.50","163.10","37.73M","0.57%"
"02/22/2023","163.37","164.13","164.42","162.50","43.77M","-0.48%"
"02/21/2023","164.15","160.66","165.65","159.26","127.42M","2.54%"
"02/20/2023","160.09","159.41","161.30","156.73","63.97M","0.23%"
"02/17/2023","159.73","158.00","160.38","156.91","52.18M","0.95%"
"02/16/2023","158.22","157.33","159.30","156.25","68.55M","1.26%"
"02/15/2023","156.25","160.94","161.12","153.83","113.80M","-3.47%"
"02/14/2023","161.86","164.30","164.38","161.64","58.83M","-1.50%"
"02/13/2023","164.32","165.20","166.88","164.17","36.21M","-0.72%"
"02/10/2023","165.52","165.00","166.49","164.50","40.92M","0.13%"
"02/09/2023","165.31","164.33","167.47","161.27","107.14M","0.71%"
"02/08/2023","164.15","165.00","166.35","162.70","58.67M","-0.75%"
"02/07/2023","165.39","167.30","168.70","163.40","92.66M","-1.02%"
"02/06/2023","167.09","161.78","167.17","161.01","89.08M","3.62%"
"02/03/2023","161.26","159.10","162.32","157.88","63.74M","1.14%"
"02/02/2023","159.45","158.40","160.29","157.37","53.87M","0.73%"
"02/01/2023","158.29","158.20","159.60","156.50","66.33M","0.14%"
"01/31/2023","158.07","153.51","158.18","153.30","77.89M","3.06%"
"01/30/2023","153.38","153.50","153.88","152.21","31.11M","0.12%"
"01/27/2023","153.20","152.40","153.48","151.69","34.12M","0.52%"
"01/26/2023","152.40","153.32","154.30","151.73","45.51M","-0.27%"
"01/25/2023","152.81","152.45","153.60","151.50","43.38M","0.10%"
"01/24/2023","152.66","153.95","155.58","152.28","78.73M","-0.55%"
"01/23/2023","153.50","151.90","154.10","151.01","55.20M","1.40%"
"01/20/2023","151.38","149.70","151.40","148.64","44.25M","1.37%"
"01/19/2023","149.34","151.20","152.85","148.56","66.81M","-1.41%"
"01/18/2023","151.47","150.40","153.00","149.41","67.51M","0.68%"
"01/17/2023","150.45","154.00","154.31","150.01","84.40M","-2.12%"
"01/16/2023","153.71","152.89","154.00","151.88","51.75M","1.33%"
"01/13/2023","151.69","149.58","153.28","147.71","88.52M","1.60%"
"01/12/2023","149.30","150.02","150.79","148.39","46.79M","-0.44%"
"01/11/2023","149.96","142.97","149.98","142.87","123.15M","5.01%"
"01/10/2023","142.81","142.10","142.85","141.31","23.72M","0.29%"
"01/09/2023","142.40","141.83","142.99","141.65","31.45M","0.71%"
"01/06/2023","141.40","141.39","141.62","140.90","10.66M","0.09%"
"01/05/2023","141.27","141.60","141.84","140.54","17.25M","-0.11%"
"01/04/2023","141.43","141.85","142.28","140.75","17.11M","-0.25%"
"01/03/2023","141.78","141.60","143.25","141.56","21.10M","0.45%"
"12/30/2022","141.15","140.80","141.48","140.13","28.18M","0.13%"
"12/29/2022","140.96","139.50","141.65","139.22","32.06M","1.04%"
"12/28/2022","139.51","139.73","140.40","138.60","28.05M","-0.28%"
"12/27/2022","139.90","141.31","142.00","139.60","41.65M","-0.74%"
"12/26/2022","140.95","138.33","141.00","138.00","49.38M","2.18%"
"12/23/2022","137.94","137.49","138.26","136.81","22.91M","0.18%"
"12/22/2022","137.69","137.99","138.97","137.00","30.56M","-0.04%"
"12/21/2022","137.75","138.70","139.12","135.81","45.54M","-0.38%"
"12/20/2022","138.28","134.51","138.40","134.41","45.02M","2.70%"
"12/19/2022","134.64","135.13","136.73","132.86","58.83M","-0.60%"
"12/16/2022","135.45","134.50","136.09","134.13","32.80M","0.67%"
"12/15/2022","134.55","136.99","137.08","134.30","54.79M","-2.00%"
"12/14/2022","137.30","138.28","138.28","136.60","34.07M","-0.60%"
"12/13/2022","138.13","139.67","139.93","136.67","52.20M","-0.97%"
"12/12/2022","139.48","140.19","140.87","138.70","33.48M","-0.39%"
"12/09/2022","140.03","139.70","140.70","139.24","29.44M","0.08%"
"12/08/2022","139.92","143.50","143.60","139.80","64.06M","-1.69%"
"12/07/2022","142.32","140.50","142.81","138.36","69.89M","1.22%"
"12/06/2022","140.61","142.20","143.37","139.11","51.82M","-0.98%"
"12/05/2022","142.00","136.66","142.68","136.25","103.93M","3.91%"
"12/02/2022","136.66","136.99","137.10","136.17","19.26M","-0.36%"
"12/01/2022","137.15","137.10","137.95","136.31","33.06M","0.27%"
"11/30/2022","136.78","136.50","136.78","135.23","26.82M","0.30%"
"11/29/2022","136.37","136.29","137.20","135.88","31.65M","0.62%"
"11/28/2022","135.53","135.02","136.20","134.10","45.28M","-0.73%"
"11/25/2022","136.53","137.20","137.24","135.41","29.62M","-0.06%"
"11/24/2022","136.61","137.00","138.41","136.12","42.39M","0.01%"
"11/23/2022","136.59","135.70","137.55","134.50","52.30M","0.69%"
"11/22/2022","135.65","134.55","136.00","133.81","45.82M","0.89%"
"11/21/2022","134.46","136.01","136.30","132.51","83.60M","-1.78%"
"11/18/2022","136.89","137.08","137.81","135.84","44.08M","-0.49%"
"11/17/2022","137.57","139.09","140.35","136.60","59.16M","-1.16%"
"11/16/2022","139.18","136.99","139.73","136.32","67.09M","2.59%"
"11/15/2022","135.66","140.49","141.00","130.86","145.54M","-2.96%"
"11/14/2022","139.80","137.50","140.70","135.83","82.52M","2.06%"
"11/11/2022","136.98","137.90","138.42","135.13","75.71M","0.22%"
"11/10/2022","136.68","131.00","136.69","129.77","171.75M","7.37%"
"11/09/2022","127.30","131.06","131.47","126.42","64.96M","-3.04%"
"11/08/2022","131.29","132.00","133.11","130.10","69.56M","-0.54%"
"11/07/2022","132.00","127.09","132.00","126.50","91.71M","4.97%"
"11/03/2022","125.75","125.40","126.10","123.91","47.72M","0.21%"
"11/02/2022","125.49","127.06","127.74","123.75","40.22M","-1.23%"
"11/01/2022","127.05","127.20","127.97","126.12","36.82M","0.26%"
"10/31/2022","126.72","127.20","128.60","125.41","60.76M","-0.20%"
"10/28/2022","126.97","126.14","127.25","124.60","73.66M","0.28%"
"10/27/2022","126.61","124.75","127.50","123.68","87.92M","1.75%"
"10/26/2022","124.43","124.70","126.88","122.10","108.50M","0.06%"
"10/25/2022","124.36","118.84","125.20","118.30","114.16M","4.68%"
"10/24/2022","118.80","120.15","121.68","117.65","74.54M","-0.54%"
"10/21/2022","119.45","116.93","119.94","114.37","102.38M","2.11%"
"10/20/2022","116.98","112.75","117.20","112.37","100.72M","4.08%"
"10/19/2022","112.39","110.12","112.93","109.30","90.69M","1.36%"
"10/18/2022","110.88","113.05","114.37","110.48","101.85M","-1.39%"
"10/17/2022","112.44","107.93","112.76","107.65","78.50M","4.32%"
"10/14/2022","107.78","106.92","109.19","105.69","52.57M","1.20%"
"10/13/2022","106.50","105.72","107.30","104.80","46.85M","0.57%"
"10/12/2022","105.90","108.27","108.50","105.25","63.38M","-1.69%"
"10/11/2022","107.72","106.50","108.30","104.26","76.96M","0.95%"
"10/10/2022","106.71","96.55","106.77","96.50","117.47M","5.13%"
"10/07/2022","101.50","107.70","108.48","101.30","90.99M","-6.23%"
"10/06/2022","108.24","108.65","110.38","107.57","51.74M","-0.25%"
"10/05/2022","108.51","110.49","110.49","106.25","90.42M","-1.85%"
"10/04/2022","110.55","115.06","115.50","110.30","83.56M","-3.32%"
"10/03/2022","114.35","110.62","114.65","109.00","73.96M","3.76%"
"09/30/2022","110.21","111.00","113.40","103.40","133.57M","-0.18%"
"09/29/2022","110.41","111.59","112.20","107.68","67.49M","-0.59%"
"09/28/2022","111.06","112.00","115.20","109.13","77.97M","-1.65%"
"09/27/2022","112.92","110.00","113.89","107.07","90.98M","5.47%"
"09/26/2022","107.06","114.00","117.99","105.00","148.64M","-10.33%"
"09/23/2022","119.39","124.49","124.50","117.35","85.91M","-3.96%"
"09/22/2022","124.31","120.25","126.95","120.25","117.48M","3.39%"
"09/21/2022","120.23","112.50","123.98","109.27","136.63M","-3.89%"
"09/20/2022","125.10","137.87","138.35","122.42","208.95M","-9.37%"
"09/19/2022","138.04","137.40","139.08","137.07","33.27M","0.23%"
"09/16/2022","137.73","139.37","141.39","136.80","71.80M","-1.25%"
"09/15/2022","139.48","139.15","140.28","137.61","56.24M","0.42%"
"09/14/2022","138.90","136.60","139.29","135.20","62.84M","1.39%"
"09/13/2022","137.00","138.70","139.37","136.15","44.58M","-1.23%"
"09/12/2022","138.70","137.07","140.37","136.80","52.61M","0.40%"
"09/09/2022","138.15","134.41","138.47","134.23","49.12M","2.71%"
"09/08/2022","134.51","136.69","137.40","134.00","57.74M","-1.72%"
"09/07/2022","136.86","136.96","139.19","135.41","60.75M","-0.27%"
"09/06/2022","137.23","140.90","141.07","135.22","86.67M","-2.67%"
"09/05/2022","141.00","143.50","145.10","139.11","87.60M","-1.95%"
"09/02/2022","143.80","138.80","144.90","136.22","136.89M","4.05%"
"09/01/2022","138.20","133.99","138.22","132.02","54.94M","2.94%"
"08/31/2022","134.25","132.30","138.34","131.50","107.45M","3.23%"
"08/30/2022","130.05","131.17","132.60","129.65","51.08M","-0.85%"
"08/29/2022","131.17","130.12","131.40","129.52","40.91M","0.59%"
"08/26/2022","130.40","128.02","130.50","127.62","32.88M","1.73%"
"08/25/2022","128.18","128.15","129.81","127.10","36.07M","0.02%"
"08/24/2022","128.15","130.60","131.64","127.85","45.83M","-1.71%"
"08/23/2022","130.38","126.06","130.49","126.01","65.42M","3.43%"
"08/22/2022","126.06","125.00","126.69","124.70","24.51M","0.69%"
"08/19/2022","125.20","126.30","126.36","124.72","18.68M","-0.87%"
"08/18/2022","126.30","124.39","126.50","123.92","25.42M","1.45%"
"08/17/2022","124.50","126.58","127.44","124.50","32.89M","-1.50%"
"08/16/2022","126.39","125.20","126.86","124.53","27.29M","1.11%"
"08/15/2022","125.00","124.56","125.70","123.28","25.36M","0.10%"
"08/12/2022","124.88","123.46","124.98","122.60","27.22M","1.16%"
"08/11/2022","123.45","126.97","126.97","123.07","30.95M","-2.18%"
"08/10/2022","126.20","126.25","127.29","124.87","31.94M","-0.16%"
"08/09/2022","126.40","123.90","126.50","122.30","37.92M","2.09%"
"08/08/2022","123.81","126.11","127.38","123.51","53.66M","1.15%"
"08/05/2022","122.40","127.50","127.58","122.24","61.18M","-3.58%"
"08/04/2022","126.95","126.94","128.13","126.16","19.56M","0.08%"
"08/03/2022","126.85","128.05","129.15","126.27","30.95M","-0.53%"
"08/02/2022","127.53","126.60","128.44","125.60","44.01M","0.15%"
"08/01/2022","127.34","131.77","131.77","127.34","44.32M","-3.46%"
"07/29/2022","131.90","131.65","132.75","130.31","27.79M","0.14%"
"07/28/2022","131.72","133.01","133.49","130.10","40.10M","-0.59%"
"07/27/2022","132.50","132.90","134.79","131.62","42.53M","-0.30%"
"07/26/2022","132.90","132.02","133.90","131.00","50.35M","1.10%"
"07/25/2022","131.45","128.90","132.00","127.24","55.99M","2.04%"
"07/22/2022","128.82","125.50","129.10","125.03","46.48M","2.66%"
"07/21/2022","125.48","126.44","126.83","122.24","53.63M","-0.76%"
"07/20/2022","126.44","128.12","129.20","126.16","34.76M","-1.03%"
"07/19/2022","127.76","128.00","128.11","125.51","32.38M","-0.27%"
"07/18/2022","128.11","130.00","130.64","127.25","35.48M","-0.61%"
"07/15/2022","128.90","126.06","129.44","125.27","44.95M","2.38%"
"07/14/2022","125.90","125.97","128.00","124.61","41.70M","-0.08%"
"07/13/2022","126.00","129.80","129.95","125.36","45.93M","-2.33%"
"07/12/2022","129.00","126.50","129.35","124.20","57.25M","1.74%"
"07/11/2022","126.80","132.80","133.90","126.42","53.73M","-4.88%"
"07/08/2022","133.30","133.15","133.98","130.90","27.64M","0.16%"
"07/07/2022","133.09","134.00","135.20","131.22","43.06M","-0.68%"
"07/06/2022","134.00","133.50","137.10","132.50","47.08M","0.37%"
"07/05/2022","133.50","132.00","135.70","131.43","51.66M","1.57%"
"07/04/2022","131.43","129.00","132.80","127.16","48.01M","1.17%"
"07/01/2022","129.91","124.13","132.00","122.50","60.63M","3.76%"
"06/30/2022","125.20","132.50","135.44","123.55","91.50M","-5.72%"
"06/29/2022","132.80","139.80","139.89","132.75","55.16M","-5.14%"
"06/28/2022","139.99","141.75","142.35","138.50","54.86M","-0.82%"
"06/27/2022","141.15","137.70","141.77","136.77","69.96M","2.46%"
"06/24/2022","137.76","137.16","138.30","135.21","45.25M","0.66%"
"06/23/2022","136.85","133.90","138.40","131.50","108.12M","2.81%"
"06/22/2022","133.11","127.88","133.21","126.03","67.80M","3.11%"
"06/21/2022","129.10","131.98","133.49","127.11","75.57M","-1.67%"
"06/20/2022","131.29","124.10","131.50","123.60","65.68M","5.98%"
"06/17/2022","123.88","123.97","125.18","123.11","36.61M","0.12%"
"06/16/2022","123.73","121.50","123.73","120.41","47.92M","2.14%"
"06/15/2022","121.14","119.40","121.71","118.71","52.26M","1.82%"
"06/14/2022","118.98","118.03","119.88","115.80","37.69M","0.77%"
"06/10/2022","118.07","118.03","119.55","117.73","25.37M","-0.11%"
"06/09/2022","118.20","120.00","120.20","117.70","29.37M","-1.42%"
"06/08/2022","119.90","118.51","122.19","118.40","41.51M","1.34%"
"06/07/2022","118.32","118.68","118.90","117.32","22.27M","-0.39%"
"06/06/2022","118.78","119.26","120.35","118.29","22.28M","-0.36%"
"06/03/2022","119.21","119.29","120.16","117.18","34.34M","0.18%"
"06/02/2022","119.00","121.90","122.39","118.50","42.77M","-2.44%"
"06/01/2022","121.97","117.50","122.69","117.00","43.79M","3.10%"
"05/31/2022","118.30","120.00","120.00","117.62","29.98M","-1.96%"
"05/30/2022","120.67","121.60","123.00","120.21","24.96M","-0.45%"
"05/27/2022","121.22","123.00","123.50","120.90","32.69M","-1.45%"
"05/26/2022","123.00","124.80","125.99","122.00","51.99M","-0.93%"
"05/25/2022","124.15","124.11","125.50","120.50","53.51M","0.44%"
"05/24/2022","123.60","119.45","125.00","117.10","45.16M","3.47%"
"05/23/2022","119.46","121.50","122.50","118.90","37.98M","-2.24%"
"05/20/2022","122.20","126.06","127.00","121.05","39.29M","-2.71%"
"05/19/2022","125.60","125.31","126.86","123.21","34.25M","0.38%"
"05/18/2022","125.12","128.20","131.30","125.00","55.57M","-2.06%"
"05/17/2022","127.75","124.00","127.78","123.65","41.96M","3.52%"
